V-23.4_100,V-10_108
1755.0,100
1755.0,160
1755.0,170
8364.78,220
8002.21,400
9153.66,440
8002.21,320
8002.21,300
8002.21,110
1755.0,50
1750.0,70
9231.76,350
8776.71,220
8148.33,150
8555.54,270
9114.22,270
8555.54,260
8002.21,250
8364.78,280
9000.91,360
1755.0,110
1755.0,150
1755.0,140
1750.0,130
8271.46,220
9063.61,490
8842.18,580
8920.04,200
9216.19,310
8343.6,260
9114.22,420
1750.0,100
1755.0,90
8842.18,430
8842.18,350
1755.0,190
7930.66,230
9114.22,240
1755.0,80
1750.0,90
1755.0,200
9000.91,420
9000.91,450
1750.0,80
9153.66,440
8002.21,230
1755.0,110
1755.0,180
9231.76,320
1755.0,90
1755.0,110
1755.0,130
1755.0,120
1755.0,130
1755.0,130
8842.18,370
1755.0,200
9231.76,650
9153.66,410
9231.76,370
8920.04,430
9153.66,300
1755.0,200
1755.0,230
7930.66,300
9063.61,240
1755.0,200
8148.33,100
9231.76,370
1755.0,190
1755.0,40
7924.48,240
8776.71,210
1755.0,90
8002.21,140
9231.76,390
9153.66,300
1755.0,180
9114.22,380
9153.66,470
8271.46,190
8271.46,300
1755.0,140
1755.0,130
1755.0,70
1755.0,170
1755.0,180
1755.0,80
9231.76,460
1750.0,30
9153.66,220
8364.78,200
8002.21,210
9000.91,230
9000.91,390
1755.0,100
1755.0,110
8699.73,300
1755.0,100
8842.18,310
1755.0,180
1755.0,100
9153.66,250
1755.0,110
8148.33,350
1755.0,160
1750.0,30
1755.0,120
1750.0,90
1750.0,50
1755.0,80
1750.0,60
9114.22,270
1755.0,70
9153.66,240
8343.6,330
7924.48,160
1755.0,110
1750.0,20
7976.88,300
8148.33,360
1755.0,160
1755.0,110
1755.0,180
7924.48,250
1750.0,20
1755.0,250
1750.0,70
8002.21,340
9185.48,450
9231.76,310
1750.0,60
9153.66,350
1750.0,180
7924.48,310
8002.21,190
1755.0,120
8842.18,430
9153.66,200
1755.0,140
1755.0,90
9231.76,700
9216.19,420
8364.78,160
9114.22,300
9063.61,420
9231.76,500
1755.0,60
1755.0,70
8842.18,420
8776.71,210
1755.0,160
9063.61,460
1750.0,60
1755.0,80
1755.0,150
1750.0,90
1755.0,80
8776.71,160
8364.78,300
1755.0,80
1755.0,80
9000.91,240
8002.21,440
8364.78,270
1755.0,150
7924.48,220
1755.0,210
1755.0,80
8364.78,360
1755.0,60
7930.66,90
1755.0,100
9231.76,510
1755.0,120
1750.0,90
1755.0,50
1750.0,100
8555.54,190
8555.54,380
9185.48,390
8271.46,160
1755.0,250
8364.78,330
8555.54,380
1755.0,140
9216.19,530
9114.22,330
9185.48,410
8002.21,120
8699.73,210
8148.33,190
1750.0,40
8555.54,230
1755.0,100
1755.0,50
8364.78,160
1755.0,110
9000.91,170
8343.6,210
8776.71,400
1755.0,180
1755.0,100
8920.04,330
9216.19,300
1755.0,120
8364.78,300
9231.76,700
8148.33,290
8002.21,220
1755.0,110
8555.54,450
9000.91,340
7924.48,240
1755.0,140
9231.76,350
1755.0,130
9216.19,620
1755.0,110
9231.76,330
1755.0,140
1755.0,70
9185.48,400
1755.0,50
9063.61,270
9114.22,410
1751.67,100
7924.48,170
1755.0,140
7930.66,110
8002.21,200
1755.0,170
8776.71,370
1755.0,110
1750.0,50
8271.46,140
9153.66,600
8842.18,350
9153.66,260
1755.0,110
9231.76,330
8776.71,220
1755.0,100
8776.71,440
7930.66,210
1755.0,100
8364.78,440
1755.0,120
8343.6,300
1755.0,50
9114.22,400
1755.0,140
9114.22,370
1755.0,110
9063.61,260
1755.0,140
